Activity Name,Service Provider Name,Service Provider Email Address,Contact Number,Contact Email,Category(s),Age Group(s),Reporting Region,Number of active referrals,Number of times details viewed,ICP,PCN,Activity Post Code,Service Provider Post Code,Active,Start Date,End Date,Link
Zumba,Mind in Croydon (Active Minds),activeminds@mindincroydon.org.uk,0208 2538205,activeminds@mindincroydon.org.uk,Exercise & Outdoor Activities,,,0,107,,,CR2 6EZ,CR2 6EZ,1,10/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/25be0170-4568-11ed-a950-95025e1b6b97/zumba
YPF,Christ Church Methodist Addiscombe,enquiries@christchurchmeth.org.uk,020 8654 5481,enquiries@christchurchmeth.org.uk,Youth Social Groups,Under 16,,0,358,,,CR0 6AD,CR0 6AD,1,2/23/2020 0:00,,https://croydon.simplyconnect.uk/activities/7355a8c0-58a4-11ea-9597-5dd1534c7c7d/ypf
Youth/Social Sports Club,Ballers Club Commmunity,hotprospects@hotmail.co.uk,020 8253 7060,cva@cvalive.org.uk,Youth Social Groups,"16-21, Under 16",,0,107,,,CR0,SE20 7QN,1,10/21/2020 0:00,,https://croydon.simplyconnect.uk/activities/760c04a0-138a-11eb-a9dd-ff44822eb3c4/youthsocial-sports-club
Youth Squad 13+,Cassandra Centre,admin@cassandracentre.org.uk,020 3601 7475,info@cassandracentre.org.uk,Youth Social Groups,Under 16,,0,185,,,SW16 4AW,SW16 4AW,1,7/26/2022 0:00,,https://croydon.simplyconnect.uk/activities/ac826f50-0cf1-11ed-acbe-7536934c3468/youth-squad-13
Youth Group Purley,Purley Youth Project,admin@purleyyouthproject.com,7727067758,admin@purleyyouthproject.com,Youth Social Groups,,,0,73,,,CR8 2LN,CR8 2LN,1,7/21/2022 0:00,,https://croydon.simplyconnect.uk/activities/f1f79800-0915-11ed-99fa-a3b1d3bd7b2e/youth-group-purley
Youth Group and Support Hub for young refugees and asylum seekers,Young Roots,london@youngroots.org.uk,0208 684 9140,croydonreferrals@youngroots.org.uk,"Youth Social Groups, Youth Social Groups","16-21, Under 16",,0,779,,,CR0 2XX,CR0 5PE,1,1/20/2022 0:00,,https://croydon.simplyconnect.uk/activities/15531f60-4430-11ea-abfc-7f21918c9906/youth-group-and-support-hub-for-young-refugees-and-asylum-seekers
Youth Group,St Mildred's Parish Office,parishoffice@stmildredschurch.org.uk,020 8655 1434,parishoffice@stmildredschurch.org.uk,Youth Social Groups,Under 16,,0,302,,,CR0 7EB,CR0 7EB,1,03/02/2020 00:00,,https://croydon.simplyconnect.uk/activities/0fe09360-c2c1-11ea-966f-278b58e688fb/youth-group
Youth Club Annerley,Hilda Lane Community Association,info@hlca.org.uk,(020) 8659 7038,info@hlca.org.uk,Youth Social Groups,,,0,71,,,SE20 8PL,SE20 8PL,1,7/21/2022 0:00,,https://croydon.simplyconnect.uk/activities/fd29f800-0919-11ed-a70d-cfeddc6022bb/youth-club-annerley
Youth Club (8 -16 years),Crystal Palace Community Trust,info@cpct.org.uk,0208 676 5668,info@cpct.org.uk,Youth Social Groups,Under 16,,0,140,,,SE20 8BD,SE20 8BD,1,03/06/2019 00:00,,https://croydon.simplyconnect.uk/activities/4483ed40-4df5-11ea-9a97-ed0ebd341b03/youth-club-8-16-years
Youth Club,Space 2 Be SEND Youth Group,space2besendyouthgroup@gmail.com,7595544035,space2besendyouthgroup@gmail.com,Youth Social Groups,Under 16,,0,114,,,CR8 3QQ,CR8 3QQ,1,05/12/2021 00:00,,https://croydon.simplyconnect.uk/activities/86295160-08e1-11ed-b317-eb125ad18c00/youth-club
Your Vision,Duffus Community Foundation (DCF),info@duffusfoundation.org,7856482888,info@duffuscancerfoundation.org,Hobbies & Interests,Under 16,,0,2,,,,CR0 2TB,1,03/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/81e541e0-7697-11eb-bbb0-b595d324c759/your-vision
Your Story,Museum of Croydon,researchroom@croydon.gov.uk,,museum@croydon.gov.uk,Heritage & Museums,"16-21, 21-65, 50+",,0,280,,,CR9 1ET,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/1285c0f0-4430-11ea-8fb2-2d2f3417c960/your-story
Your Space,Duffus Community Foundation (DCF),info@duffusfoundation.org,7856482888,info@duffusfoundation.org,Wellbeing,"16-21, Under 16",,0,289,,,CR0 1UF,CR0 2TB,1,03/05/2021 00:00,,https://croydon.simplyconnect.uk/activities/427c5c30-4df5-11ea-a775-3b92697903fa/your-space
Young Women's Online Support,Skye Alexandra House,,,info@skyealexandrahouse.co.uk,Counselling,,,0,88,,,CR0 1LP,SE19 2UH,1,4/29/2020 0:00,,https://croydon.simplyconnect.uk/activities/6cbe5290-c4f4-11ea-b7c8-5733b5a62b1b/young-womens-online-support
Young People’s Services - Work in Schools,Bromley and Croydon Women's Aid,info@bcwa.org.uk,2083139303,management@bcwa.org.uk,Violence & Abuse,"16-21, Under 16",,0,236,,,SE20,CR0 2JB,1,,,https://croydon.simplyconnect.uk/activities/11dd3a90-4430-11ea-808d-c1881c0ad1da/young-peoples-services-work-in-schools
Young People’s Services - Peer Support Groups,Bromley and Croydon Women's Aid,info@bcwa.org.uk,2083139303,management@bcwa.org.uk,Violence & Abuse,16-21,,0,373,,,SE20,CR0 2JB,1,,,https://croydon.simplyconnect.uk/activities/112f6960-4430-11ea-9968-092a6781ac10/young-peoples-services-peer-support-groups
Young People’s Services - One to One Support,Bromley and Croydon Women's Aid,info@bcwa.org.uk,2083139303,management@bcwa.org.uk,Violence & Abuse,"16-21, Under 16",,1,264,,,SE20,CR0 2JB,1,,,https://croydon.simplyconnect.uk/activities/106e8620-4430-11ea-bc87-b5336be37523/young-peoples-services-one-to-one-support
Young People's Virtual Education Service,"Write Time, The",chrismurray@thewritetime.org.uk,,sukbahar@thewritetime.org.uk,Education ,,,0,90,,,CR0 2XX,CR0 2XX,1,4/29/2020 0:00,,https://croydon.simplyconnect.uk/activities/9040e920-c4f4-11ea-b313-0182e15cadbc/young-peoples-virtual-education-service
Young Driver Information Day,QEF Mobility Services,transporthubproject@qef.org.uk,020 8770 1151,mobility@qef.org.uk,Transport & Mobility,Under 16,,0,299,,,SM5 4AW,SM5 4AW,1,,,https://croydon.simplyconnect.uk/activities/0fc6aef0-4430-11ea-a0e6-b9ef58d1a015/young-driver-information-day
Young DeafHope,DeafHope,deafhope.admin@signhealth.org.uk,2087723241,deafhope.admin@signhealth.org.uk,Violence & Abuse,"16-21, Under 16",,0,121,,,SW12 9SJ,SW12 9SJ,1,,,https://croydon.simplyconnect.uk/activities/0f1563a0-4430-11ea-a4e5-339cde272ed6/young-deafhope
Young at Heart: Online Social for Over 55's,Croydon BME Forum,info@bmeforum.org,07541 365250,epiphany@bmeforum.org,Social Groups,50+,,0,,,,CR0 3RG,CR0 3RG,1,12/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/225f5580-5103-11ec-ac1a-4bd8e266979f/young-at-heart-online-social-for-over-55s
Young and Inspired skills-training programme for 16 - 24 years,Ground Work London,london@groundwork.org.uk,7387105573,lorder.sade@groundwork.org.uk,"Employment, Skills & Enterprise ",,,0,123,,,SE1 7QZ,SE1 7QZ,1,6/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/e3302cd0-ebef-11ec-b7f7-0d914044f1ef/young-and-inspired-skills-training-programme-for-16-24-years
Yoga Class,British Bangladeshi Society Croydon (BBSC),bbsc786@gmail.com,07961 427 044/020 8684 0272,bwac786@gmail.com,Exercise & Outdoor Activities,"16-21, 21-65, 50+",,0,321,,,CR7 7ER,CR0 2NP.,1,10/01/2020 00:00,,https://croydon.simplyconnect.uk/activities/dd4f9490-0302-11eb-81f4-51c76fe95a97/yoga-class
Yoga (Zoom),Mind in Croydon (Active Minds),activeminds@mindincroydon.org.uk,0208 2538205,activeminds@mindincroydon.org.uk,Exercise & Outdoor Activities,,,0,81,,,CR2 6EZ,CR2 6EZ,1,10/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/fcfceab0-456c-11ed-b132-69c6d1fbda1b/yoga-zoom
Yoga (Indoor),Silverfit,info@silverfit.org.uk,,,Exercise & Outdoor Activities,50+,,0,138,,,CR0 6RX,SW1E 6SQ,1,04/07/2022 00:00,,https://croydon.simplyconnect.uk/activities/86db8060-b661-11ec-baac-f1a982b24372/yoga-indoor
Yoga,Croydon Vision,info@croydonvision.org.uk,020 8688 2486,info@croydonvision.org.uk,Wellbeing,"16-21, 21-65",,0,388,,,CR0 2AR,CR0 2AR,1,,,https://croydon.simplyconnect.uk/activities/09e5c220-4430-11ea-8851-455906405db2/yoga
Yoga,Mind in Croydon (Active Minds),activeminds@mindincroydon.org.uk,020 8253 8205,activeminds@mindincroydon.org.uk,Exercise & Outdoor Activities,,,0,399,,,CR2 6EZ,CR2 6EZ,1,10/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/605230c0-63ba-11ea-bbba-0d564d7b567b/yoga
