"Activity Name","Service Provider Name","Service Provider Email Address","Contact Number","Contact Email",Category(s),"Age Group(s)","Reporting Region","Number of active referrals","Number of times details viewed",ICP,PCN,"Activity Post Code","Service Provider Post Code",Active,Link
"Zumba Extravaganza After School Club - Winterbourne Boys","Pamper Indulge and Give",Charlenec.pig@gmail.com,,charlenec.pig@gmail.com,"Education ","Under 16",,0,194,,,"CR7 7QT","SE25 4LH",1,https://croydon.simplyconnect.uk/activities/17c7d420-4430-11ea-bbc0-7b018ce67623/zumba-extravaganza-after-school-club-winterbourne-boys
"Zumba Extravaganza - St Cyprian's Greek Orthodox Primary Academy","Pamper Indulge and Give",Charlenec.pig@gmail.com,,Charlenec.pig@gmail.com,"Education ","Under 16",,0,196,,,"CR7 8DZ","SE25 4LH",1,https://croydon.simplyconnect.uk/activities/172ed6a0-4430-11ea-b630-836f2463985a/zumba-extravaganza-st-cyprians-greek-orthodox-primary-academy
"Zumba  Extravaganza - Winterbourne Junior Girls' School","Pamper Indulge and Give",Charlenec.pig@gmail.com,,Charlenec.pig@gmail.com,"Exercise & Outdoor Activities","Under 16",,0,169,,,"CR7 7QT","SE25 4LH",1,https://croydon.simplyconnect.uk/activities/1604f590-4430-11ea-88c7-41de15a00db1/zumba-extravaganza-winterbourne-junior-girls-school
Zumba,"Mind in Croydon (Active Minds)",activeminds@mindincroydon.org.uk,"0208 2538205",activeminds@mindincroydon.org.uk,"Exercise & Outdoor Activities",,,0,59,,,"CR2 6EZ","CR2 6EZ",1,https://croydon.simplyconnect.uk/activities/25be0170-4568-11ed-a950-95025e1b6b97/zumba
YPF,"Christ Church Methodist Addiscombe",enquiries@christchurchmeth.org.uk,"020 8654 5481",enquiries@christchurchmeth.org.uk,"Youth Social Groups","Under 16",,0,329,,,"CR0 6AD","CR0 6AD",1,https://croydon.simplyconnect.uk/activities/7355a8c0-58a4-11ea-9597-5dd1534c7c7d/ypf
"YP Mentor","Croydon Voluntary Action",cva@cvalive.org.uk,"0208 253 1261",mary.lawrence@cvalive.org.uk,"Befriending & Mentoring","16-21, 21-65",,35,111,,,"CR0 1TY","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/5d244f20-1212-11eb-a29d-117db4df4faa/yp-mentor
"Youth/Social Sports Club","Ballers Club Commmunity",hotprospects@hotmail.co.uk,"020 8253 7060",cva@cvalive.org.uk,"Youth Social Groups","16-21, Under 16",,0,91,,,CR0,"SE20 7QN",1,https://croydon.simplyconnect.uk/activities/760c04a0-138a-11eb-a9dd-ff44822eb3c4/youthsocial-sports-club
"Youth Squad 13+","Cassandra Centre",admin@cassandracentre.org.uk,"020 3601 7475",info@cassandracentre.org.uk,"Youth Social Groups","Under 16",,0,119,,,"SW16 4AW","SW16 4AW",1,https://croydon.simplyconnect.uk/activities/ac826f50-0cf1-11ed-acbe-7536934c3468/youth-squad-13
"Youth Mental Health First Aid Course","Asian Resource Centre of Croydon",info@arccltd.com,,,"Mental Health",,,0,53,,,"CRO 1TF","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/714e2450-335f-11ed-bc73-ebaa80faee3f/youth-mental-health-first-aid-course
"Youth Group Purley","Purley Youth Project",pypjuniors@gmail.com,07727067758,pypjuniors@gmail.com,"Youth Social Groups",,,0,55,,,"CR8 2LN","CR8 2LN",1,https://croydon.simplyconnect.uk/activities/f1f79800-0915-11ed-99fa-a3b1d3bd7b2e/youth-group-purley
"Youth Group and Support Hub for young refugees and asylum seekers","Young Roots",london@youngroots.org.uk,"0208 684 9140",croydonreferrals@youngroots.org.uk,"Youth Social Groups, Youth Social Groups","16-21, Under 16",,0,694,,,"CR0 2XX","CR0 2XX",1,https://croydon.simplyconnect.uk/activities/15531f60-4430-11ea-abfc-7f21918c9906/youth-group-and-support-hub-for-young-refugees-and-asylum-seekers
"Youth Group","St Mildred's Parish Office",parishoffice@stmildredschurch.org.uk,"020 8655 1434",parishoffice@stmildredschurch.org.uk,"Youth Social Groups","Under 16",,0,273,,,"CR0 7EB","CR0 7EB",1,https://croydon.simplyconnect.uk/activities/0fe09360-c2c1-11ea-966f-278b58e688fb/youth-group
"Youth Empowerment session","Project 4 Youth Empowerment",info@p4ye.co.uk,"07727 277431",wayne@p4ye.co.uk,"Youth Social Groups","Under 16",,0,172,,,"CR0 1Ty","CR0 2BX",1,https://croydon.simplyconnect.uk/activities/4c9fa320-e0a3-11eb-8e41-1d1b4f0bd8ab/youth-empowerment-session
"Youth Empowerment session","My Ends Partnership",Shalina.Alabaksh@cvalive.org.uk,"07727 277431",wayne@p4ye.co.uk,"Youth Social Groups","Under 16",,0,219,,,"CR0 1TY","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/bba0da20-8a54-11ec-8b95-233f842847ad/youth-empowerment-session
"Youth Club Annerley","Hilda Lane Community Association",info@hlca.org.uk,"(020) 8659 7038",info@hlca.org.uk,"Youth Social Groups",,,0,54,,,"SE20 8PL","SE20 8PL",1,https://croydon.simplyconnect.uk/activities/fd29f800-0919-11ed-a70d-cfeddc6022bb/youth-club-annerley
"Youth Club (8 -16 years)","Crystal Palace Community Trust",info@cpct.org.uk,"0208 676 5668",info@cpct.org.uk,"Youth Social Groups","Under 16",,0,124,,,"SE20 8BD","SE20 8BD",1,https://croydon.simplyconnect.uk/activities/4483ed40-4df5-11ea-9a97-ed0ebd341b03/youth-club-8-16-years
"Youth Club","Space 2 Be SEND Youth Group",space2besendyouthgroup@gmail.com,07595544035,space2besendyouthgroup@gmail.com,"Youth Social Groups","Under 16",,0,82,,,"CR8 3QQ","CR8 3QQ",1,https://croydon.simplyconnect.uk/activities/86295160-08e1-11ed-b317-eb125ad18c00/youth-club
"Your Vision","Duffus Community Foundation (DCF)",info@duffusfoundation.org,07856482888,info@duffuscancerfoundation.org,"Hobbies & Interests","Under 16",,0,1,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/81e541e0-7697-11eb-bbb0-b595d324c759/your-vision
"Your Story","Museum of Croydon",researchroom@croydon.gov.uk,,museum@croydon.gov.uk,"Heritage & Museums","16-21, 21-65, 50+",,0,257,,,"CR9 1ET","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/1285c0f0-4430-11ea-8fb2-2d2f3417c960/your-story
"Your Space","Duffus Community Foundation (DCF)",info@duffusfoundation.org,07856482888,info@duffusfoundation.org,Wellbeing,"16-21, Under 16",,0,244,,,"CR0 1UF","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/427c5c30-4df5-11ea-a775-3b92697903fa/your-space
"Youngevity UK Youth Charity","Youngevity UK Ltd",info@youngevity.org.uk,07472488499,info@youngevity.org.uk,"Youth Social Groups","16-21, Under 16",,0,100,,,"N1 6DS","N1 6DS",1,https://croydon.simplyconnect.uk/activities/600beb60-b6f7-11eb-b317-55c6896c5da8/youngevity-uk-youth-charity
"Youngevity Free Online Tuition this Summer","Youngevity UK Ltd",info@youngevity.org.uk,07472488499,info@youngevity.org.uk,"Education ","Under 16",,0,84,,,,"N1 6DS",1,https://croydon.simplyconnect.uk/activities/a48358a0-ee03-11eb-bc15-37cc076b7fad/youngevity-free-online-tuition-this-summer
"Young Women's Online Support","Skye Alexandra House",,,info@skyealexandrahouse.co.uk,Counselling,,,0,79,,,"CR0 1LP","SE19 2UH",1,https://croydon.simplyconnect.uk/activities/6cbe5290-c4f4-11ea-b7c8-5733b5a62b1b/young-womens-online-support
"Young Women's Online Mentoring","Ashdon Jazz Academy",ashdonjazzacademy@yahoo.co.uk,,ashdonjazzacademy@yahoo.co.uk,Counselling,,,0,167,,,"SE27 0HY","CR4 3UD",1,https://croydon.simplyconnect.uk/activities/9dcc8760-8a28-11ea-a1e4-ed325bfde985/young-womens-online-mentoring
"Young Refugees Counselling and Resources for Refugee Supporting Organisations","Croydon Young Refugees Network",,"020 8251 0251",Croydon@talkofftherecord.org,Counselling,,,0,329,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/fae69a20-c4f6-11ea-81c4-952bae41dd1a/young-refugees-counselling-and-resources-for-refugee-supporting-organisations
"Young People’s Services - Work in Schools","Bromley and Croydon Women's Aid",info@bcwa.org.uk,02083139303,management@bcwa.org.uk,"Violence & Abuse","16-21, Under 16",,0,205,,,SE20,"CR0 2JB",1,https://croydon.simplyconnect.uk/activities/11dd3a90-4430-11ea-808d-c1881c0ad1da/young-peoples-services-work-in-schools
"Young People’s Services - Peer Support Groups","Bromley and Croydon Women's Aid",info@bcwa.org.uk,02083139303,management@bcwa.org.uk,"Violence & Abuse",16-21,,0,334,,,SE20,"CR0 2JB",1,https://croydon.simplyconnect.uk/activities/112f6960-4430-11ea-9968-092a6781ac10/young-peoples-services-peer-support-groups
